职称,发布时间,地点,薪资,工作天数,实习时长,公司,职位
Java实习生,4小时前,上海,200-250/天,5天/周,8个月,数禾科技,Java
java研发实习生,5小时前,厦门,80-100/天,5天/周,9个月,畅享信息,Java
Java开发实习生(海口),6天前,海口,100-150/天,5天/周,8个月,用友金融,Java
开发实施工程师,5天前,上海,100-150/天,5天/周,6个月,中兴软创,Java
Java游戏开发工程师,4天前,上海,100-200/天,5天/周,7个月,九影网络,Java
初级后端开发工程师,2周前,广州,100-150/天,5天/周,13个月,锐竞信息,Java
Java实习生,6天前,深圳,100-200/天,4天/周,3个月,英瀚,Java
Java开发工程师（2019校招）,5小时前,广州,100-150/天,3天/周,3个月,卓越教育,IT互联网
服务端开发实习生,5小时前,北京,250-300/天,4天/周,5个月,赛格威机器人,Java
Java开发工程师（实习）,40分钟前,北京,150-200/天,5天/周,12个月,轻而易举,Java
软件工程师,4小时前,北京,120-200/天,5天/周,6个月,灵境世界科技,Java
java实习生,7分钟前,北京,200-250/天,5天/周,4个月,学而思培优,Java
Java开发实习生（校招）,30分钟前,杭州,250-300/天,4天/周,4个月,银泰百货,Java
开发工程师,2天前,温州,面议,5天/周,4个月,帝杰曼,Java
JS/H5编程讲师,2天前,东莞,100-150/天,5天/周,3个月,酷码教育,Java
JavaScript/H5编程讲师/助教,2天前,佛山,100-150/天,5天/周,4个月,酷码教育,Java
JavaScript/H5编程讲师/助教,2天前,佛山,100-150/天,5天/周,3个月,酷码教育,Java
Java/Js讲师,2天前,东莞,100-150/天,5天/周,4个月,酷码教育,Java
Java开发实习生（19届校招）,3天前,苏州,400-500/天,5天/周,6个月,智慧芽,Java
技术支持实习生（项目管理）,3天前,嘉兴,50-100/天,5天/周,10个月,泛微,Java
Java开发工程师（实习）,3天前,太仓,100-150/天,5天/周,8个月,安软,Java
教研实习生,4天前,"合肥,芜湖",50-100/天,5天/周,9个月,科大讯飞教育,Java
java开发工程师,5天前,大连,200-250/天,5天/周,4个月,华钦科技,IT互联网
技术支持实习生（项目管理）,6天前,龙岩,面议,6天/周,10个月,泛微,Java
java算法实习生,7天前,长春,100-150/天,4天/周,7个月,聚法科技,Java
Java开发工程师,7天前,西宁,80-160/天,5天/周,12个月,用友金融,软件
Java开发工程师,7天前,乌鲁木齐,80-160/天,5天/周,12个月,用友金融,软件
Java开发工程师,1周前,北京,100-150/天,3天/周,4个月,天智,Java
软件开发工程师（C++/C#/.Net/Java/IOS/Android）,2周前,嘉兴,150-200/天,5天/周,9个月,蓝鸽集团,C/C++
Java实习生（乌鲁木齐）,3周前,乌鲁木齐,50-100/天,5天/周,9个月,天源迪科,Java
Java开发工程师,3小时前,北京,面议,5天/周,4个月,中信网科,Java
平台开发工程师,4小时前,北京,100-150/天,4天/周,8个月,中国电信电渠中心,Java
java/python web后端开发实习生,6小时前,杭州,100-150/天,5天/周,4个月,万宝锐旗,Python
Java开发实习生,3小时前,北京,300-400/天,4天/周,6个月,十一贝,Java
Java实习生（2019年应届生）,5小时前,重庆,100-150/天,5天/周,9个月,安硕信息,Java
Java开发工程师,2天前,北京,200-220/天,5天/周,6个月,京东,Android
JAVA实习生,2天前,北京,1-2/天,5天/周,4个月,拓普互联,Java
Java开发工程师/开发顾问,7天前,兰州,80-160/天,5天/周,12个月,用友金融,软件
实习软件工程师,16小时前,上海,150-200/天,4天/周,9个月,百胜咨询,Java
后台开发工程师,1小时前,广州,90-130/天,3天/周,3个月,火烈鸟网络,Java
